Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH3
1.29504020e-02,0.0800001,0.01
1.29504030e-02,0.0600001,0.01
1.29504040e-02,0.0600001,0.01
1.29504050e-02,0.0600001,0.01
1.29504060e-02,0.0600001,0.01
1.29504070e-02,0.0600001,0.01
1.29504080e-02,0.0600001,0.01
1.29504090e-02,0.0600001,0.01
1.29504100e-02,0.0600001,0.01
1.29504110e-02,0.0600001,0.01
1.29504120e-02,0.0600001,0.01
1.29504130e-02,0.0600001,0.03
1.29504140e-02,0.0600001,0.01
1.29504150e-02,0.0600001,0.03
1.29504160e-02,0.0600001,0.01
1.29504170e-02,0.0600001,0.03
1.29504180e-02,0.0800001,0.03
1.29504190e-02,0.0600001,0.03
1.29504200e-02,0.0400001,0.01
1.29504210e-02,0.0400001,0.01
1.29504220e-02,0.0600001,0.03
1.29504230e-02,0.0600001,0.03
1.29504240e-02,0.0600001,0.03
1.29504250e-02,0.0600001,0.01
1.29504260e-02,0.0600001,-0.00999996
1.29504270e-02,0.0600001,0.01
1.29504280e-02,0.0600001,0.01
1.29504290e-02,0.0600001,0.01
1.29504300e-02,0.0600001,0.03
1.29504310e-02,0.0400001,0.03
1.29504320e-02,0.0600001,0.03
1.29504330e-02,0.0600001,0.03
1.29504340e-02,0.0800001,0.03
1.29504350e-02,0.0600001,0.03
1.29504360e-02,0.0600001,0.01
1.29504370e-02,0.0600001,0.01
1.29504380e-02,0.0600001,0.01
1.29504390e-02,0.0600001,0.03
1.29504400e-02,0.0600001,0.01
1.29504410e-02,0.0600001,0.01
1.29504420e-02,0.0600001,0.01
1.29504430e-02,0.0400001,0.01
1.29504440e-02,0.0600001,0.01
1.29504450e-02,0.0600001,0.01
1.29504460e-02,0.0600001,0.03
1.29504470e-02,0.0600001,0.03
1.29504480e-02,0.0800001,0.01
1.29504490e-02,0.0600001,0.01
1.29504500e-02,0.0600001,0.01
1.29504510e-02,0.0600001,0.01
1.29504520e-02,0.0600001,0.01
1.29504530e-02,0.0600001,0.01
1.29504540e-02,0.0600001,0.01
1.29504550e-02,0.0800001,0.03
1.29504560e-02,0.0800001,0.03
1.29504570e-02,0.0800001,0.03
1.29504580e-02,0.0600001,0.03
1.29504590e-02,0.0600001,0.05
1.29504600e-02,0.0600001,0.03
1.29504610e-02,0.0600001,0.03
1.29504620e-02,0.0600001,0.03
1.29504630e-02,0.0600001,0.03
1.29504640e-02,0.0600001,0.01
1.29504650e-02,0.0600001,0.03
1.29504660e-02,0.0600001,0.01
1.29504670e-02,0.0600001,0.03
1.29504680e-02,0.0600001,0.01
1.29504690e-02,0.0600001,0.03
1.29504700e-02,0.0600001,0.01
1.29504710e-02,0.0600001,0.01
1.29504720e-02,0.0600001,0.01
1.29504730e-02,0.0600001,0.01
1.29504740e-02,0.0600001,0.01
1.29504750e-02,0.0600001,0.01
1.29504760e-02,0.0600001,0.03
1.29504770e-02,0.0600001,0.01
