Time (s),Force (N),Displacement (m)
55.5,-1.55749619,0.1105376706
55.50999832,-1.548212886,0.1097533479
55.52000046,-1.537929177,0.10913793
55.52999878,-1.526861191,0.1083380654
55.54000092,-1.518506527,0.1075381935
55.54999924,-1.510223269,0.1067537516
55.56000137,-1.501939535,0.1061384603
55.56999969,-1.496298432,0.1053385809
55.58000183,-1.487872243,0.1045387238
55.59000015,-1.47951746,0.1037541404
55.59999847,-1.470234156,0.1031389907
55.61000061,-1.460022449,0.1023391336
55.61999893,-1.451667666,0.1015392616
55.63000107,-1.440386772,0.1007393897
55.63999939,-1.428388834,0.0999244079
55.65000153,-1.417249084,0.09892456979
55.65999985,-1.406039238,0.0979397893
55.66999817,-1.393182158,0.09713991731
55.68000031,-1.383829236,0.09634005278
55.68999863,-1.372758746,0.09554018825
55.70000076,-1.364404082,0.09474032372
55.70999908,-1.355120778,0.09394045174
55.72000122,-1.344909191,0.09314059466
55.72999954,-1.336554408,0.09234072268
55.74000168,-1.326205373,0.09154085815
55.75,-1.313277245,0.09074098617
55.75999832,-1.303134203,0.08992639929
55.77000046,-1.29285419,0.08892656863
55.77999878,-1.282710791,0.08792673796
55.79000092,-1.273495436,0.0869268924
55.79999924,-1.265072703,0.08594165742
55.81000137,-1.256785393,0.08514177799
55.81999969,-1.248295546,0.08434191346
55.83000183,-1.238218665,0.08354204893
55.84000015,-1.22979641,0.08274217695
55.84999847,-1.219450831,0.08194231987
55.86000061,-1.207449555,0.08114245534
55.86999893,-1.196309686,0.08034258336
55.88000107,-1.184241295,0.07954271138
55.88999939,-1.174096227,0.07874284685
55.90000153,-1.165807605,0.0779287219
55.90999985,-1.158380985,0.07692889124
55.91999817,-1.149960041,0.07594324648
55.93000031,-1.140611053,0.07514338195
55.93999863,-1.130465269,0.07434350997
55.95000076,-1.120253444,0.07354364544
55.95999908,-1.110970259,0.07274378091
55.97000122,-1.102615595,0.07194390893
55.97999954,-1.093332171,0.0711440444
55.99000168,-1.083055735,0.07034417987
56,-1.071915865,0.06955823302
56.00999832,-1.060775995,0.06895832717
56.02000046,-1.050628781,0.06834457815
56.02999878,-1.040417194,0.06754470617
56.04000092,-1.032126427,0.06674484909
56.04999924,-1.024699807,0.0659449771
56.06000137,-1.017273188,0.06514510512
56.06999969,-1.010902166,0.06434524059
56.08000183,-1.007062078,0.06354536861
56.09000015,-0.9977152348,0.06275912374
56.09999847,-0.9893603921,0.06214563921
56.11000061,-0.9790858626,0.06134577468
56.11999893,-0.9678832293,0.06055942923
56.13000107,-0.9560030699,0.05995952338
56.13999939,-0.9485139847,0.05934616923
56.15000153,-0.9392930269,0.05854630098
56.15999985,-0.9318042994,0.05775982887
56.16999817,-0.9225830436,0.05714656413
56.18000031,-0.9141660929,0.05634669587
56.18999863,-0.9068632126,0.05556012318
56.20000076,-0.9003032446,0.05496022478
56.20999908,-0.8928766251,0.05434710532
56.22000122,-0.8855112195,0.05356042832
56.22999954,-0.8788295388,0.05296052247
56.24000168,-0.8687399626,0.05236062407
56.25,-0.8603848815,0.05176072568
56.25999832,-0.8538867831,0.05116082728
56.27000046,-0.8454712629,0.05056092143
56.27999878,-0.8371767998,0.04996101931
56.29000092,-0.8297501802,0.04936111718
56.29999924,-0.8223235607,0.04876122251
56.31000137,-0.8149568439,0.04817421362
56.31999969,-0.8103154302,0.04776142165
56.33000183,-0.8037573695,0.04716152325
56.34000015,-0.7962714434,0.04656162485
56.34999847,-0.787047565,0.04596172273
56.36000061,-0.7796209455,0.04536182061
56.36999893,-0.7721944451,0.04476191849
56.38000107,-0.7648265958,0.04417467862
56.38999939,-0.7602437139,0.04376212135
56.40000153,-0.7554849982,0.04317481071
56.40999985,-0.7480584383,0.04276231676
56.41999817,-0.7416183949,0.04216241837
56.43000031,-0.7350620031,0.04156251997
56.43999863,-0.7267069221,0.04097507894
56.45000076,-0.7212526798,0.04056271911
56.45999908,-0.7164958119,0.03997521102
56.47000122,-0.709069252,0.03957527876
56.47999954,-0.7016997933,0.03916301578
56.49000168,-0.6960728168,0.03856311366
56.5,-0.6887600422,0.03796321526
56.50999832,-0.6849900484,0.03736331686
56.52000046,-0.6804051399,0.03677561134
56.52999878,-0.6756504774,0.03637567535
56.54000092,-0.6682238579,0.03596361354
56.54999924,-0.6608533859,0.03537580743
56.56000137,-0.6552274227,0.03497587144
56.56999969,-0.6488410234,0.03456391022
56.58000183,-0.6451277137,0.03397601098
56.59000015,-0.6403748989,0.03357607871
56.59999847,-0.6330590248,0.03317614645
56.61000061,-0.6302189827,0.03277621046
56.61999893,-0.6247041225,0.03237627447
56.63000107,-0.6209908724,0.03197633848
56.63999939,-0.617277503,0.03157640994
56.65000153,-0.612526536,0.03117647581
56.65999985,-0.6051543951,0.03076481074
56.66999817,-0.5995301604,0.03017660789
56.68000031,-0.5931403041,0.02976501174
56.68999863,-0.5893729925,0.02917673998
56.70000076,-0.5848392248,0.02877680585
56.70999908,-0.5810182095,0.02838843502
56.72000122,-0.5753947496,0.02817694098
56.72999954,-0.567914784,0.0277885031
56.74000168,-0.5596664548,0.02757707238
56.75,-0.5531149507,0.02717714198
56.75999832,-0.5467226505,0.02676580846
56.77000046,-0.5429566503,0.0261772722
56.77999878,-0.5383677483,0.0257660076
56.79000092,-0.5327450633,0.02517740428
56.79999924,-0.5281035304,0.02477747016
56.81000137,-0.5225857496,0.02437753789
56.81999969,-0.5188724399,0.02397760376
56.83000183,-0.5151591897,0.0235776715
56.84000015,-0.5114458799,0.02317773923
56.84999847,-0.5067525506,0.0227667056
56.86000061,-0.5021624565,0.02217786945
56.86999893,-0.497469455,0.02176690474
56.88000107,-0.4929301441,0.0211780034
56.88999939,-0.4900431931,0.02077807114
56.90000153,-0.4844225049,0.02037813701
56.90999985,-0.4780255854,0.01997820288
56.91999817,-0.4743122756,0.01957826875
56.93000031,-0.4686414599,0.01917833649
56.93999863,-0.4631720781,0.0187676046
56.95000076,-0.4594587684,0.01817846671
56.95999908,-0.4547173381,0.01777853444
56.97000122,-0.4473404288,0.01737860218
56.97999954,-0.4426989257,0.01697866805
56.99000168,-0.4362004995,0.01658936776
57,-0.4306797385,0.01637880132
